node_id,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31,emb_32,emb_33,emb_34,emb_35,emb_36,emb_37,emb_38,emb_39,emb_40,emb_41,emb_42,emb_43,emb_44,emb_45,emb_46,emb_47,emb_48,emb_49,emb_50,emb_51,emb_52,emb_53,emb_54,emb_55,emb_56,emb_57,emb_58,emb_59,emb_60,emb_61,emb_62,emb_63
20,0.56614393,-0.7142899,-0.19089235,-0.5557319,-0.14030609,1.0894794,-0.3932743,1.0169936,-1.2086431,0.9424782,0.51825464,-0.08069732,-0.8224134,-0.8009876,0.24053799,0.50217265,0.1535954,-0.31076774,-0.6627582,0.13354316,0.4074269,0.34113553,-0.37254,-0.8531959,0.06374631,-0.12961042,0.22852945,-0.70188344,0.16527168,0.113046475,-0.52202487,-0.54711896,0.21400432,-0.10733048,0.31314835,0.17210966,0.19617829,1.3785539,0.34190586,0.08464356,0.22454615,0.08916709,0.33495814,-0.037865542,0.68888915,0.93664545,-0.43728822,-0.14950436,0.51521516,0.18153974,0.0057034153,0.7431519,-0.54224074,-1.3487295,-0.92581666,0.016831199,1.5533841,0.07008335,0.21374953,0.49478486,0.6878543,0.45181972,0.24680927,1.1664288
21,0.52866346,-0.34503666,-0.61443675,-0.55422264,0.033636145,0.25262532,0.020938892,0.34015933,-1.0517377,0.7174861,0.37047735,0.3596153,0.26437205,-0.19116764,-0.18470515,-1.3325355,0.8951512,1.3014283,-0.9183909,0.12179022,1.0736594,0.17741553,-0.5592893,-0.14055371,-0.047419697,-0.17890453,0.36518154,-0.29693916,0.2765739,0.16068687,0.5046711,0.07737261,-0.33835468,-0.11535635,-0.093427934,-0.49462098,0.11922073,0.51023036,0.08365861,0.08590129,-0.20444885,-0.49299505,0.014194215,-1.026414,0.3359806,-0.3426784,-0.19389294,1.0195171,-0.40699506,0.23120771,0.23997773,1.311708,0.07654059,-1.0973151,0.5570634,-0.0041369805,0.63578534,-1.3166201,-0.09783826,0.4601203,0.44092834,0.95762074,0.45637724,0.53656316
22,1.2757009,-0.7029596,0.5626364,-1.0577083,-0.67382467,0.87503964,-1.2947308,-0.62348235,-1.6532236,0.37107888,0.18661186,0.23965687,-0.7738989,-0.5718808,0.69919616,-0.051507417,0.2988409,-0.30891094,-0.4347743,-0.23897183,-0.40337643,-0.41658938,-0.40131798,-0.40388623,0.15936333,-0.1548636,-0.5612432,-0.35055578,0.45557013,-0.30229852,-0.6213081,0.17957555,0.23143688,0.24605274,-0.046246633,-0.23185654,-0.32644176,0.50865906,0.18200655,0.91685146,0.3319559,0.31800324,-0.15171926,-0.012649382,0.52415377,0.19265515,0.19893451,0.9611517,-0.19863196,0.49044666,0.514875,0.3870861,-0.6001072,-0.31497154,1.041801,0.8244924,0.6663923,-0.17309551,-0.16357166,-0.21260373,1.2076927,-0.13243866,-1.1668012,1.0335194
23,0.30264264,-1.246825,-0.76369894,-0.21805255,-0.16502547,0.9290957,-0.9491705,-0.41451618,-1.5789762,-0.45877293,0.21552342,-0.05655536,-0.4668873,-0.3336811,0.9468155,-0.030902065,0.6632686,0.95540375,0.63998383,0.8744911,-0.65727866,-0.42424938,-0.6724455,-0.051747575,0.38123837,0.35978207,-0.4395587,0.46876162,-0.3939354,0.03616946,0.5070907,-0.00557553,-0.020007173,0.25966558,-0.14931951,-0.80453366,-0.2636173,0.5087719,-0.30027035,0.92204666,-0.81492984,0.2605971,-0.4154685,0.042802148,0.60837483,-0.7044813,-0.7272741,-0.40728682,0.7539167,-0.54748565,0.7054381,0.26527023,0.4287675,-1.1824781,-0.78110105,-0.18456736,0.37593377,-0.11455914,-0.13501558,-1.0069604,0.64566636,1.1734844,0.18993185,0.5121168
24,0.13478227,-0.7706206,-1.3565236,0.3388616,-0.27952522,0.6779569,0.36421207,-0.30848658,-0.8617662,0.35999507,-0.08090944,-0.2697388,-1.1658233,0.02272674,-0.2854408,-0.50230956,0.3182789,0.018791582,-0.6901847,0.9953086,-0.48022005,-0.22109048,0.021930998,0.2570066,-0.22820215,-0.13342579,-0.59223086,0.3730159,-0.8218022,-0.437647,-0.19153444,0.8447644,-0.47928596,0.20890693,-0.12865372,0.0042251716,0.2887606,0.2725448,0.77284867,0.05007523,-1.0185034,0.23100749,0.58592564,-0.21437284,-0.60894084,1.0751116,-0.73348933,-0.044317603,-0.49084356,0.24584603,0.5194481,0.26346454,0.3680206,-1.6279912,0.48941237,0.5064868,1.2489299,-0.48109996,1.1510153,0.22706564,1.001853,0.19827364,-0.088783205,-0.11437394
25,0.8977853,-0.98646575,-0.44740334,-0.7925609,-0.24927893,0.40505335,-0.9150833,-0.543287,0.3420753,-0.05972874,0.35588753,0.06561822,-1.4887748,-0.7539348,0.33207467,-0.4518974,0.57791,-0.19657354,0.3084376,-0.19892457,-0.17093721,0.3680029,-0.20278275,-0.33123645,0.57996225,-0.18560313,0.08681511,-0.15117483,-0.4712688,-0.34484962,0.105684154,0.31821126,0.57728696,0.23655976,0.29320726,1.7417462,0.93389505,0.5955289,0.76569414,0.2856085,0.10800676,0.31731105,0.5068497,-0.7341167,-0.6761727,0.03416409,-0.029471356,0.2001539,-0.26546666,-0.76062703,-0.5417006,0.876564,-0.037831996,-0.4513708,-0.43516204,-0.25114277,1.0220699,0.17386505,0.24371643,-0.34361854,1.4390455,0.9278256,-0.0953109,0.3966588
26,0.23086385,-0.89328444,-0.71947616,1.022854,0.2045637,0.3223822,-0.5675042,0.30608237,-0.9229268,0.17100655,0.034818236,-0.4473324,-0.85004944,-0.78754616,-0.2751229,1.0912793,0.7957615,0.89863735,-0.57294446,0.6921949,-0.4027316,0.39108735,-0.39200175,0.52045965,0.1856909,-0.39536285,0.24793668,0.19124757,-0.8089927,-0.28610262,0.91209775,-0.77703404,-0.9365596,0.13297264,0.10534026,-0.48866153,0.35917434,0.08225841,-0.19128317,0.93081653,-1.3113259,0.146801,-0.24499723,-0.3216351,0.13688196,0.18788256,0.42214093,0.62230253,-1.6605232,0.16903524,-0.5089115,0.54767686,-0.08225117,-0.9557885,0.13710135,1.0132512,0.87883633,0.1562421,0.70503163,0.34579355,0.7320007,0.93181795,-0.17445453,0.7568718
27,0.7101773,-0.38111296,-1.1389445,0.1399438,-0.675656,0.1735952,0.1472672,-0.8308883,-0.6646434,0.040141687,0.15535793,-0.43659216,-1.2622793,-0.95499635,1.0480942,0.44648156,-0.821909,0.39201665,-0.042221714,0.75724626,0.0780301,0.28849238,-0.03007284,0.20965186,0.21097273,0.03220248,0.37921342,-0.7659602,0.5882825,0.120542124,0.36068413,-0.6596281,-0.42452535,0.7444553,-0.94502616,-0.59522825,0.21270254,0.84803647,0.4969853,0.42985514,-0.16185415,-0.1539831,0.104109414,-0.75722915,0.64960814,-0.26548913,-0.3667465,0.6720331,-1.0760317,0.58205867,0.7366495,0.025351882,-0.41103554,-0.50362015,0.5766126,0.00048056338,1.1961099,-0.4353745,1.0017363,0.38996992,0.4591458,-0.078622006,-0.27681503,-0.1570285
28,0.9510709,-0.9628634,-0.67350763,-0.45863724,-0.5167992,0.6002926,-0.15456574,0.68581015,-0.7292494,1.3938265,-0.6814439,-0.40554312,-1.0122807,-1.0407759,-0.39162734,-0.345279,-0.22627255,0.6744052,0.43453634,0.8221953,-0.83541274,-0.18394028,-0.4697871,-0.50488204,0.12758006,-0.42849988,-0.0580105,-0.80532867,-0.26733187,-0.23398131,0.43586498,-0.80535895,-0.31703952,0.75098217,-0.2596,-0.4737451,-0.0601427,-0.27307746,0.43416354,-0.48191035,-0.25328624,-0.98787564,0.14363502,-1.1116706,-0.21009043,0.049001258,-0.04351434,0.31640974,-1.1731887,-0.8431823,0.3568541,0.7495782,-0.30967325,-0.29959297,-0.2746231,-0.6343838,0.47462344,0.11928107,0.38899556,-0.44611,0.9685834,0.33470505,-0.8403605,0.7753201
29,0.7768618,-0.81507665,-0.7658907,-0.8486185,-0.48717973,0.78535956,-0.49501592,-0.12543328,0.10390504,0.8021165,0.36001965,-0.129131,-0.5548057,-0.4635132,0.73723894,0.281567,0.5391827,0.65923375,0.030094802,1.4740885,0.11631785,-0.20441934,0.010576788,-0.67818606,1.30364,0.39132944,-0.29445398,-0.4978722,-0.6934003,-0.30129528,-1.2074897,0.58389264,-0.72820354,0.5544026,-0.23375945,0.4680885,0.03298488,0.5868409,0.48457474,0.26363423,-0.7511215,0.27936667,0.5593155,0.94761354,0.35203382,-0.6182668,0.0768043,0.14385357,0.14502315,-0.3132215,0.3739651,-0.6455971,0.26232505,-0.23065712,-0.23323022,0.503045,0.6757819,-0.7282661,-0.11260402,-0.2703738,0.64992666,0.15003303,-0.1732055,0.82383925
